category,RatingRange,ProductCount,AvgNormalizedSalesVolume,AvgNormalizedRevenue,AvgNormalizedInventoryPerformance,AvgDiscountPercentage
Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms,High Ratings (4.1-5.0),1,7.14E-04,1.21E-05,7.14E-04,0.9
Electronics|Cameras&Photography|Accessories|Batteries&Chargers|BatteryChargers,Medium Ratings (2.1-4.0),1,0.08271813227,0.004248841712,0.07352722492,0.25
Electronics|Cameras&Photography|Accessories|Film,High Ratings (4.1-5.0),1,0.01167707432,0.001101298484,0.01189331583,0
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",Medium Ratings (2.1-4.0),8,8.21E-04,6.23E-05,7.20E-04,0.60375
Computers&Accessories|Accessories&Peripherals|USBHubs,Medium Ratings (2.1-4.0),2,0.01692761949,7.39E-04,0.01426149883,0.49
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|TableFans",High Ratings (4.1-5.0),1,0.009537009259,0.001553170654,0.009007174457,0.41
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",Medium Ratings (2.1-4.0),1,0.01709922897,0.004109536829,0.0158326186,0.26
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,Medium Ratings (2.1-4.0),4,0.04034886281,0.01322257516,0.03616203801,0.4575
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers,Medium Ratings (2.1-4.0),4,0.009112788841,8.70E-04,0.00829553768,0.3275
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|CeilingFans",Medium Ratings (2.1-4.0),4,0.01640209103,0.004489826492,0.01503500167,0.3825
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",High Ratings (4.1-5.0),10,0.002590950444,1.32E-04,0.002543954526,0.621
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|Tabletop&TravelTripods,High Ratings (4.1-5.0),2,0.04367396129,0.004969608075,0.04309880778,0.695
Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,Medium Ratings (2.1-4.0),1,0.003278895855,8.39E-05,0.003036014525,0.63
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,High Ratings (4.1-5.0),6,0.02188628329,0.001355703394,0.02136059822,0.6183333333
Computers&Accessories|Components|Memory,High Ratings (4.1-5.0),1,0.06274241739,0.0193151412,0.06390431074,0.49
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|FountainPens",High Ratings (4.1-5.0),1,0.01047106822,4.05E-04,0.009889341213,0
MusicalInstruments|Microphones|Condenser,Medium Ratings (2.1-4.0),2,0.0935455148,0.01169997478,0.08585889984,0.46
Electronics|Accessories|MemoryCards|MicroSD,Medium Ratings (2.1-4.0),2,0.06946362161,0.004403342054,0.06431816486,0.77
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges",High Ratings (4.1-5.0),3,0.01264124341,0.001098379504,0.01251519349,0.1533333333
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,Medium Ratings (2.1-4.0),1,0.01565353398,0.00228306736,0.0144940122,0.43
"Home&Kitchen|Heating,Cooling&AirQuality|AirConditioners|Split-SystemAirConditioners",High Ratings (4.1-5.0),1,0.007395241407,0.05461581797,0.007258292583,0.43
"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",High Ratings (4.1-5.0),5,0.1914954576,0.04106103973,0.1819660303,0.608
"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",High Ratings (4.1-5.0),3,0.002957624214,6.29E-04,0.002833939705,0.3733333333
Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,High Ratings (4.1-5.0),1,0.03631701856,9.36E-04,0.03564448033,0
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",Medium Ratings (2.1-4.0),3,0.0108373718,0.007750509672,0.009822169721,0.5166666667
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,High Ratings (4.1-5.0),8,0.01234077119,0.003057924205,0.01224041586,0.38125
Computers&Accessories|Laptops|TraditionalLaptops,Medium Ratings (2.1-4.0),1,6.88E-04,0.004400472971,6.37E-04,0.38
OfficeProducts|OfficeElectronics|Calculators|Scientific,High Ratings (4.1-5.0),2,0.02116048215,0.002813629363,0.02128823123,0.025
"Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers",High Ratings (4.1-5.0),4,0.007990845121,0.01584179282,0.007800469133,0.41
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens,High Ratings (4.1-5.0),1,0.02510228984,3.88E-04,0.02510228954,0.1
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens",Medium Ratings (2.1-4.0),1,0.007848058521,3.67E-04,0.00726672048,0.15
"Home&Kitchen|Heating,Cooling&AirQuality|Parts&Accessories|FanParts&Accessories",High Ratings (4.1-5.0),1,0.007690713571,9.24E-04,0.00726345085,0.59
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries",High Ratings (4.1-5.0),1,0.008079604459,0.001941808693,0.007929981225,0.53
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|WaffleMakers&Irons,High Ratings (4.1-5.0),1,8.72E-05,1.35E-05,8.40E-05,0.55
"Home&Kitchen|Heating,Cooling&AirQuality|Humidifiers",Medium Ratings (2.1-4.0),2,0.004432683935,0.001651530786,0.00408929075,0.375
"Home&Kitchen|Heating,Cooling&AirQuality|Humidifiers",High Ratings (4.1-5.0),1,3.85E-04,2.17E-04,3.77E-04,0.43
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,Medium Ratings (2.1-4.0),2,0.009717161698,0.002210369009,0.008234059766,0.68
Computers&Accessories|NetworkingDevices|DataCards&Dongles,Medium Ratings (2.1-4.0),1,0.02268048459,0.008178306636,0.02016042872,0.35
Electronics|HomeAudio|Speakers|TowerSpeakers,Medium Ratings (2.1-4.0),1,5.70E-04,2.25E-04,5.07E-04,0.43
Electronics|Cameras&Photography|SecurityCameras|DomeCameras,Medium Ratings (2.1-4.0),1,0.003802667531,0.00130586952,0.003380148743,0.57
Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,Medium Ratings (2.1-4.0),1,0.02900273979,0.001245597378,0.02631730157,0
Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting|PhotoBackgroundAccessories|BackgroundSupports,High Ratings (4.1-5.0),1,0.01415189549,0.00169937977,0.01388982165,0.46
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers,Medium Ratings (2.1-4.0),4,0.001962200918,3.95E-04,0.001801464549,0.54
Electronics|HomeAudio|Accessories|Adapters,High Ratings (4.1-5.0),1,0.04419951879,0.001586947121,0.04419951682,0.65
"Electronics|Headphones,Earbuds&Accessories|Headphones|Over-Ear",Medium Ratings (2.1-4.0),1,0.0270887365,0.003020174813,0.02458051989,0.74
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,Medium Ratings (2.1-4.0),5,0.02232407606,0.001128513802,0.0202403658,0.598
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers,Medium Ratings (2.1-4.0),2,0.0304096299,0.001823203711,0.02815706328,0.73
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,High Ratings (4.1-5.0),4,0.01170295684,0.01035955319,0.01169087823,0.335
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|DripCoffeeMachines",High Ratings (4.1-5.0),4,0.003821896312,2.41E-04,0.003609568409,0.425
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|LiquidInkRollerballPens",High Ratings (4.1-5.0),2,0.00891718555,2.60E-04,0.0084616542,0.05
"Electronics|HomeTheater,TV&Video|Projectors",Medium Ratings (2.1-4.0),2,0.01090658702,0.01776608471,0.00989725013,0.38
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,High Ratings (4.1-5.0),5,0.008897901209,0.001105946925,0.008564019147,0.39
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",High Ratings (4.1-5.0),21,0.3219443486,0.03484329828,0.3043377076,0.4714285714
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",High Ratings (4.1-5.0),7,0.001121964805,5.45E-04,0.001065259605,0.3042857143
"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",High Ratings (4.1-5.0),4,0.006144256953,0.007027473766,0.005895456466,0.51
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors",High Ratings (4.1-5.0),7,0.01910232091,0.002686360268,0.01959813704,0.6685714286
Electronics|HomeAudio|Speakers|BluetoothSpeakers,Medium Ratings (2.1-4.0),3,0.05325391734,0.005564106558,0.04818876328,0.4133333333
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers,High Ratings (4.1-5.0),4,0.009991716743,0.002862477751,0.009941824885,0.2975
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,Medium Ratings (2.1-4.0),8,0.01136774177,0.005507836021,0.01028855172,0.495
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers,High Ratings (4.1-5.0),10,0.003188540033,4.42E-04,0.003158391909,0.517
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,Medium Ratings (2.1-4.0),19,0.02785516726,0.07174161936,0.025594858,0.2294736842
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges",Medium Ratings (2.1-4.0),1,0.01532777355,0.001887977724,0.01419238219,0.06
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",High Ratings (4.1-5.0),8,0.02511156416,0.002763475247,0.02380557921,0.315
Computers&Accessories|Accessories&Peripherals|HardDriveAccessories|Caddies,High Ratings (4.1-5.0),1,0.01600340654,5.47E-04,0.01511432714,0.75
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories,High Ratings (4.1-5.0),1,0.005461277837,6.45E-04,0.005562412326,0.08
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers,High Ratings (4.1-5.0),3,0.01672455195,4.25E-04,0.01641483846,0.2566666667
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands,High Ratings (4.1-5.0),3,0.02328447298,0.001549028253,0.02290928878,0.7566666667
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",Medium Ratings (2.1-4.0),4,0.01187823937,6.09E-04,0.01043131737,0.4
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,Medium Ratings (2.1-4.0),8,0.007005479429,2.95E-04,0.006353677185,0.485
Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,High Ratings (4.1-5.0),7,0.02846226917,0.002408152493,0.02874675671,0.1428571429
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters",High Ratings (4.1-5.0),11,0.02508101765,0.009141745108,0.02550988798,0.4445454545
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",Medium Ratings (2.1-4.0),6,0.007165789163,2.44E-04,0.006242062161,0.62
"Electronics|HomeTheater,TV&Video|Projectors",High Ratings (4.1-5.0),1,1.68E-05,4.03E-05,1.71E-05,0.52
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters,High Ratings (4.1-5.0),3,0.01662843754,0.004714548989,0.01649699978,0.13
Electronics|WearableTechnology|SmartWatches,Medium Ratings (2.1-4.0),31,0.04827409377,0.01391553034,0.04424456111,0.6835483871
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|HandlebarMounts,High Ratings (4.1-5.0),1,0.002730585902,3.23E-04,0.002680019446,0.66
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",High Ratings (4.1-5.0),6,0.04537035342,0.01038042628,0.04368950433,0.3
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",High Ratings (4.1-5.0),21,0.2096901909,0.01003017022,0.209366679,0.6176190476
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts,High Ratings (4.1-5.0),1,0.02038344771,3.12E-04,0.01925103197,0.82
Computers&Accessories|Accessories&Peripherals|USBHubs,High Ratings (4.1-5.0),3,0.005215697533,6.19E-04,0.005030157054,0.3966666667
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeGrinders|ElectricGrinders",Medium Ratings (2.1-4.0),1,8.40E-04,3.52E-05,6.69E-04,0.51
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",High Ratings (4.1-5.0),6,0.01997379864,0.006303036434,0.01958659428,0.1983333333
"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses",Medium Ratings (2.1-4.0),1,0.001156928594,5.36E-04,9.64E-04,0.23
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",High Ratings (4.1-5.0),2,0.01889570247,4.81E-04,0.01832925164,0.62
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Mills&Grinders|WetGrinders,Medium Ratings (2.1-4.0),2,0.01496094707,0.009415434568,0.01351505819,0.215
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",Medium Ratings (2.1-4.0),31,0.07230761075,0.01257983894,0.06423522019,0.6580645161
HomeImprovement|Electrical|Adapters&Multi-Outlets,Medium Ratings (2.1-4.0),1,0.005495344287,4.01E-04,0.005088281487,0.57
OfficeProducts|OfficePaperProducts|Paper|Copy&PrintingPaper|ColouredPaper,High Ratings (4.1-5.0),1,8.88E-04,1.51E-05,8.72E-04,0
Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers,Medium Ratings (2.1-4.0),1,0.002261373564,9.09E-04,0.002010109731,0.42
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens",High Ratings (4.1-5.0),2,0.007553889132,2.64E-04,0.007239896257,0.12
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,High Ratings (4.1-5.0),9,0.01645207852,0.001713755506,0.0161378997,0.4411111111
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandMixers,High Ratings (4.1-5.0),3,0.01686463178,0.00325709893,0.01642144508,0.42
Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers,High Ratings (4.1-5.0),1,0.5904717629,0.02018602715,0.5576677652,0.6
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,Medium Ratings (2.1-4.0),9,0.1300154658,0.03020924349,0.1202727176,0.1855555556
Electronics|Accessories|MemoryCards|MicroSD,High Ratings (4.1-5.0),11,0.2222623799,0.0347857486,0.2215495979,0.5554545455
Home&Kitchen|CraftMaterials|PaintingMaterials,High Ratings (4.1-5.0),1,0.02258046762,8.92E-04,0.02299862325,0
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Bedstand&DeskMounts,High Ratings (4.1-5.0),1,0.003219013423,2.76E-04,0.003040179188,0.74
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers|ColdPressJuicers,High Ratings (4.1-5.0),1,0.005358652655,0.01160739857,0.005358652676,0.47
Computers&Accessories|NetworkingDevices|Routers,Medium Ratings (2.1-4.0),1,0.02366127899,0.006361377489,0.02190859053,0.48
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",High Ratings (4.1-5.0),2,0.06711973804,0.005200264622,0.06463381673,0.535
Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,Medium Ratings (2.1-4.0),3,0.03348976825,0.002007872769,0.02976868034,0.65
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",Low Ratings (1.0-2.0),1,2.13E-06,4.75E-07,1.18E-06,0.48
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,High Ratings (4.1-5.0),12,0.0139144235,0.00364618145,0.01349516092,0.3191666667
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|MilkFrothers",High Ratings (4.1-5.0),1,0.009604663101,0.001813336757,0.009071070241,0.27
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances,High Ratings (4.1-5.0),1,0.004955816878,0.002212687955,0.004955817019,0.39
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Flashes&SelfieLights|SelfieLights,High Ratings (4.1-5.0),1,0.03136301039,0.009153975566,0.02962061548,0.51
Computers&Accessories|Components|InternalHardDrives,High Ratings (4.1-5.0),1,8.09E-04,2.77E-05,7.79E-04,0.8
"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",Medium Ratings (2.1-4.0),3,0.07409857511,0.0103273063,0.06711084479,0.3833333333
Computers&Accessories|Components|InternalSolidStateDrives,High Ratings (4.1-5.0),3,0.07847785297,0.02491809831,0.07981628629,0.48
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,Medium Ratings (2.1-4.0),5,0.04070600164,0.009042746439,0.03769074032,0.48
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers,High Ratings (4.1-5.0),3,0.03417505659,0.003271499942,0.03349790076,0.48
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters",Medium Ratings (2.1-4.0),2,0.005062647058,0.004366567479,0.004616878871,0.515
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads,High Ratings (4.1-5.0),2,0.06942263009,0.01041809195,0.06988341852,0.52
Electronics|HomeAudio|Speakers|BluetoothSpeakers,High Ratings (4.1-5.0),3,0.08164033898,0.02668264737,0.07951942601,0.5566666667
Electronics|Cameras&Photography|SecurityCameras|DomeCameras,High Ratings (4.1-5.0),4,0.08261369598,0.04414647527,0.07993499553,0.39
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads,Medium Ratings (2.1-4.0),1,0.01221282248,0.00146653305,0.01130816839,0.53
Computers&Accessories|ExternalDevices&DataStorage|ExternalHardDisks,High Ratings (4.1-5.0),6,0.08395954504,0.06974686508,0.08460781116,0.27
Electronics|WearableTechnology|SmartWatches,High Ratings (4.1-5.0),45,0.04617697729,0.02030567998,0.04438129009,0.7082222222
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,Medium Ratings (2.1-4.0),18,0.02326243827,0.01022752617,0.02101917431,0.47
Electronics|Cameras&Photography|VideoCameras,Medium Ratings (2.1-4.0),1,0.006635133199,5.69E-04,0.005775023044,0.75
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|RoboticVacuums",High Ratings (4.1-5.0),2,0.008971399991,0.0387680336,0.008817662685,0.45
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",Medium Ratings (2.1-4.0),2,0.002024079418,7.66E-04,0.001782574193,0.27
Electronics|HomeAudio|Speakers|OutdoorSpeakers,High Ratings (4.1-5.0),3,0.05387719055,0.0104440544,0.05088401153,0.55
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,Medium Ratings (2.1-4.0),8,0.01506199537,0.001744747672,0.01381224436,0.625
