product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,SalesVolume,Revenue,Discount_effectiveness,Inventory_performance_score,,,,,,
B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,599,599,0,4.3,355,1526.5001,"914,373.56",0,8090.4507,,,,,,
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,499,999,0.5,4.2,179691,754702.2,"376,596,384.00",0.5005005005,3924451.2,,,,,,
B008LN8KDM,Philips GC1920/28 1440-Watt Non-Stick Soleplate Steam Iron,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",1849,2095,0.12,4.3,7681,33028.3,"61,069,328.00",0.1174224344,175050,,,,,,
B008P7IF02,Morphy Richards New Europa 800-Watt Espresso and Cappuccino 4-Cup Coffee Maker (Black),"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|EspressoMachines",4799,5795,0.17,3.9,3815,14878.5,"71,401,920.00",0.1718723037,72904.65,,,,,,
B008QS9J6Y,"Logitech C270 Digital HD Webcam with Widescreen HD Video Calling, HD Light Correction, Noise-Reducing Mic, for Skype, FaceTime, Hangouts, WebEx, PC/Mac/Laptop/MacBook/Tablet - (Black, HD 720p/30fps)",Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,1990,2595,0.23,4.3,20398,87711.41,"174,545,696.00",0.2331406551,464870.47,,,,,,
B008QTK47Q,Philips GC1905 1440-Watt Steam Iron with Spray (Blue),"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",1614,1745,0.08,4.3,37974,163288.2,"263,547,152.00",0.07507163324,865427.5,,,,,,
B008YW3CYM,USHA EI 1602 1000 W Lightweight Dry Iron with Non-Stick Soleplate (Multi-colour),"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",616,1190,0.48,4.1,37126,152216.6,"93,765,424.00",0.4823529412,776304.6,,,,,,
B008YW8M0G,"Bajaj DX-7 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",775,875,0.11,4.2,46647,195917.39,"151,835,984.00",0.1142857143,1018770.4,,,,,,
B00935MD1C,"Prestige PRWO 1.8-2 700-Watts Delight Electric Rice Cooker with 2 Aluminium Cooking Pans - 1.8 Liters, White",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers,2719,3945,0.31,3.7,13406,49602.2,"134,868,384.00",0.3107731305,233130.34,,,,,,
B00935MGHS,"Prestige PSMFB 800 Watt Sandwich Toaster with Fixed Plates, Black",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers,1199,1795,0.33,4.2,5967,25061.398,"30,048,616.00",0.3320334262,130319.266,,,,,,
B009DA69W6,KENT Gold Optima Gravity Water Purifier (11016) | UF Technology Based | Non-Electric & Chemical Free | Counter Top | 10L Storage | White,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers,1699,1900,0.11,3.6,11456,41241.598,"70,069,472.00",0.1057894737,189711.34,,,,,,
B009LJ2BXA,"Hp Wired On Ear Headphones With Mic With 3.5 Mm Drivers, In-Built Noise Cancelling, Foldable And Adjustable For Laptop/Pc/Office/Home/ 1 Year Warranty (B4B09Pa)",Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,649,999,0.35,3.5,7222,25277,"16,404,773.00",0.3503503504,113746.5,,,,,,
B009P2L7CO,"Bajaj DHX-9 1000W Heavy Weight Dry Iron with Advance Soleplate and Anti-Bacterial German Coating Technology, Ivory","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",1099,1920,0.43,4.2,9772,41042.4,"45,105,596.00",0.4276041667,213420.47,,,,,,
B009P2LIL4,"Bajaj Majesty RX10 2000 Watts Heat Convector Room Heater (White, ISI Approved)","Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",2219,3080,0.28,3.6,468,1684.7999,"3,738,571.00",0.2795454545,7750.079,,,,,,
B009P2LITG,"Bajaj Majesty RX11 2000 Watts Heat Convector Room Heater (White, ISI Approved)","Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",2169,3279,0.34,4.1,1716,7035.5996,"15,260,216.00",0.3385178408,35881.56,,,,,,
B009P2LK08,"Bajaj Minor 1000 Watts Radiant Room Heater (Steel, ISI Approved)","Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",749,1129,0.34,4,2446,9784,"7,328,216.00",0.3365810452,48920,,,,,,
B009P2LK80,"Bajaj Deluxe 2000 Watts Halogen Room Heater (Steel, ISI Approved), Multicolor","Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters",1409,1639,0.14,3.7,787,2911.9001,"4,102,867.20",0.1403294692,13685.931,,,,,,
B009UORDX4,"Philips Hi113 1000-Watt Plastic Body Ptfe Coating Dry Iron, Pack of 1","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",949,975,0.03,4.3,7223,31058.902,"29,474,898.00",0.02666666667,164612.19,,,,,,
B009VCGPSY,"HP X1000 Wired USB Mouse with 3 Handy Buttons, Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces (H2C21AA, Black/Grey)","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",269,649,0.59,4.3,54315,233554.52,"62,826,164.00",0.5855161787,1237838.9,,,,,,
B00A0VCJPI,"TP-Link TL-WA850RE Single_Band 300Mbps RJ45 Wireless Range Extender, Broadband/Wi-Fi Extender, Wi-Fi Booster/Hotspot with 1 Ethernet Port, Plug and Play, Built-in Access Point Mode, White",Computers&Accessories|NetworkingDevices|Repeaters&Extenders,1469,2499,0.41,4.2,156638,657879.56,"966,425,090.00",0.4121648659,3420973.5,,,,,,
B00A328ENA,"Panasonic SR-WA22H (E) Automatic Rice Cooker, Apple Green, 2.2 Liters",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers,2976,3945,0.25,4.2,3740,15707.999,"46,747,004.00",0.2456273764,81681.59,,,,,,
B00A7PLVU6,Orpat HHB-100E WOB 250-Watt Hand Blender (White),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,753,899,0.16,4.2,18462,77540.4,"58,387,920.00",0.1624026696,403210.06,,,,,,
B00ABMASXG,"Bajaj Immersion Rod Water Heater 1500 Watts, Silver","Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",539,720,0.25,4.1,36017,147669.7,"79,593,968.00",0.2513888889,753115.44,,,,,,
B00AXHBBXU,"Casio FX-82MS 2nd Gen Non-Programmable Scientific Calculator, 240 Functions and 2-line Display, Black",OfficeProducts|OfficeElectronics|Calculators|Scientific,522,550,0.05,4.4,12179,53587.6,"27,972,728.00",0.05090909091,289373.06,,,,,,
B00B3VFJY2,"HUL Pureit Germkill kit for Advanced 23 L water purifier - 3000 L Capacity, Sand, Multicolour",Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,980,980,0,4.2,4740,19908,"19,509,840.00",0,103521.59,,,,,,
B00B7GKXMG,Wipro Smartlife Super Deluxe Dry Iron- 1000W,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",699,850,0.18,4.1,1106,4534.6,"3,169,685.50",0.1776470588,23126.459,,,,,,
B00BN5SNF0,"ENVIE® (AA10004PLNi-CD) AA Rechargeable Batteries, Low Self Discharge, AA 1000mAh Ni-CD (Pack of 4)",Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,250,250,0,3.9,13971,54486.902,"13,621,726.00",0,266985.84,,,,,,
B00C3GBCIS,GIZGA Club-laptop Neoprene Reversible for 15.6-inches Laptop Sleeve - Black-Red,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,249,499,0.5,4.2,22860,96011.99,"23,906,986.00",0.501002004,499262.34,,,,,,
B00CEQEGPI,"Logitech MK270r USB Wireless Keyboard and Mouse Set for Windows, 2.4 GHz Wireless, Spill-resistant Design, 8 Multimedia & Shortcut Keys, 2-Year Battery Life, PC/Laptop- Black","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",1345,2295,0.41,4.2,17413,73134.59,"98,366,032.00",0.4139433551,380299.88,,,,,,
B00DJ5N9VK,Faber-Castell Connector Pen Set - Pack of 25 (Assorted),Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,150,150,0,4.3,15867,68228.1,"10,234,215.00",0,361608.94,,,,,,
B00E3DVQFS,"Duracell Rechargeable AA 2500mAh Batteries, 4 Pcs",Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,879,1109,0.21,4.4,31599,139035.61,"122,212,304.00",0.2073940487,750792.3,,,,,,
B00E9G8KOY,HUL Pureit Germkill kit for Classic 23 L water purifier - 1500 L Capacity,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,600,600,0,4.1,10907,44718.7,"26,831,220.00",0,228065.36,,,,,,
B00EDJJ7FS,Philips Viva Collection HD4928/01 2100-Watt Induction Cooktop with Feather Touch Sensor and Crystal Glass Plate (Black),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,3229,5295,0.39,4.2,39724,166840.8,"538,728,960.00",0.3901794145,867572.1,,,,,,
B00EYW1U68,TP-Link TL-WA855RE 300 Mbps Wi-Fi Range Extender (White),Computers&Accessories|NetworkingDevices|Repeaters&Extenders,1599,3599,0.56,4.2,16182,67964.4,"108,675,072.00",0.5557099194,353414.84,,,,,,
B00F159RIK,"Bajaj DX-2 600W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, Black","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",499,625,0.2,4.2,5355,22490.998,"11,223,008.00",0.2016,116953.19,,,,,,
B00GE55L22,"Storite USB 3.0 Cable A to Micro B high Speed Upto 5 Gbps Data Transfer Cable for Portable External Hard Drive - (20cm), Black",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299,699,0.57,4.1,2957,12123.7,"3,624,986.20",0.5722460658,61830.87,,,,,,
B00GG59HU2,"BlueRigger High Speed HDMI Cable with Ethernet - Supports 3D, 4K 60Hz and Audio Return - Latest Version (3 Feet / 0.9 Meter)","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",467,599,0.22,4.4,44054,193837.61,"90,522,160.00",0.2203672788,1046723.1,,,,,,
B00GGGOYEK,Storite USB 2.0 A to Mini 5 pin B Cable for External HDDS/Camera/Card Readers 35cm,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,259,699,0.63,3.8,2399,9116.2,"2,361,095.80",0.6294706724,43757.76,,,,,,
B00GGGOYEU,Storite USB 2.0 A to Mini 5 pin B Cable for External HDDS/Camera/Card Readers (150cm - 1.5M),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299,699,0.57,3.9,1454,5670.6,"1,695,509.40",0.5722460658,27785.941,,,,,,
B00GHL8VP2,"USHA 1212 PTC with Adjustable Thermostat Fan Heater (Black/Brown, 1500-Watts).","Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",3487.77,4990,0.3,4.1,1127,4620.6997,"16,115,938.00",0.3010480923,23565.568,,,,,,
B00GZLB57U,"Quantum RJ45 Ethernet Patch Cable/LAN Router Cable with Heavy Duty Gold Plated Connectors Supports Hi-Speed Gigabit Upto 1000Mbps, Waterproof and Durable,1-Year Warranty-32.8 Feet (10 Meters)(White)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,238,699,0.66,4.4,8372,36836.8,"8,767,159.00",0.6595135908,198918.73,,,,,,
B00H0B29DI,USHA Heat Convector 812 T 2000-Watt with Instant Heating Feature (Black),"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",2199,2990,0.26,3.8,1558,5920.4,"13,018,959.00",0.264548495,28417.92,,,,,,
B00H3H03Q4,HUL Pureit Germkill kit for Classic 23 L water purifier - 3000 L Capacity,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,1130,1130,0,4.2,13250,55649.996,"62,884,496.00",0,289380,,,,,,
B00H47GVGY,"USHA Quartz Room Heater with Overheating Protection (3002, Ivory, 800 Watts)","Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",1199,1695,0.29,3.6,13300,47880,"57,408,120.00",0.2926253687,220248,,,,,,
B00HVXS7WC,"Bajaj Rex 500W Mixer Grinder with Nutri-Pro Feature, 3 Jars, White",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,1999,3210,0.38,4.2,41349,173665.8,"347,157,920.00",0.377258567,903062.1,,,,,,
B00HZIOGXW,Crompton IHL 152 1500-Watt Immersion Water Heater with Copper Heating Element (Black),"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",610,825,0.26,4.1,13165,53976.5,"32,925,664.00",0.2606060606,275280.16,,,,,,
B00J4YG0PC,"Classmate Long Notebook - 140 Pages, Single Line, 297mm x 210mm (Pack of 12)","OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",561,720,0.22,4.4,3182,14000.801,"7,854,449.00",0.2208333333,75604.33,,,,,,
B00J5DYCCA,Havells Ventil Air DSP 230mm Exhaust Fan (Pista Green),"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",1399,1890,0.26,4,8031,32124,"44,941,476.00",0.2597883598,160620,,,,,,
B00JBNZPFM,"Karcher WD3 EU Wet and Dry Vacuum Cleaner, 1000 Watts Powerful Suction, 17 L Capacity, Blower Function, Easy Filter Removal for Home and Garden Cleaning  (Yellow/Black)","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",6199,10999,0.44,4.2,10429,43801.797,"271,527,328.00",0.4364033094,227769.34,,,,,,
B00K32PEW4,"Casio MJ-120D 150 Steps Check and Correct Desktop Calculator with Tax Keys, Black",OfficeProducts|OfficeElectronics|Calculators|Financial&Business,535,535,0,4.4,4426,19474.4,"10,418,804.00",0,105161.766,,,,,,
B00K57MR22,"Sujata Dynamix DX Mixer Grinder, 900W, 3 Jars (White)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,6120,8478,0.28,4.6,6550,30130,"184,395,600.00",0.2781316348,168728,,,,,,
B00KIDSU8S,Havells Ventil Air DX 200mm Exhaust Fan (White),"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",1999,2360,0.15,4.2,7801,32764.2,"65,495,636.00",0.1529661017,170373.83,,,,,,
B00KIE28X0,"Camel Artist Acrylic Color Box - 9ml Tubes, 12 Shades",Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,310,310,0,4.5,5882,26469,"8,205,390.00",0,145579.5,,,,,,
B00KRCBA6E,Maharaja Whiteline Lava Neo 1200-Watts Halogen Heater (White and Red),"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters",2499,5000,0.5,3.8,1889,7178.1997,"17,938,322.00",0.5002,34455.355,,,,,,
B00KXULGJQ,"TP-Link AC750 Wifi Range Extender | Up to 750Mbps | Dual Band WiFi Extender, Repeater, Wifi Signal Booster, Access Point| Easy Set-Up | Extends Wifi to Smart Home & Alexa Devices (RE200)",Computers&Accessories|NetworkingDevices|Repeaters&Extenders,1889,5499,0.66,4.2,49551,208114.19,"393,127,712.00",0.6564829969,1082193.8,,,,,,
B00LHZW3XY,"Luxor 5 Subject Single Ruled Notebook - A5 Size, 70 GSM, 300 Pages","OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",125,180,0.31,4.4,8053,35433.2,"4,429,150.00",0.3055555556,191339.28,,,,,,
B00LHZWD0C,"Luxor 5 Subject Single Ruled Notebook - A4, 70 GSM, 300 pages","OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",252,315,0.2,4.5,3785,17032.5,"4,292,190.00",0.2,93678.75,,,,,,
B00LM4W1N2,Parker Classic Gold Gold Trim Ball Pen,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",480,600,0.2,4.3,5719,24591.701,"11,804,017.00",0.2,130336.02,,,,,,
B00LM4X0KU,"Parker Quink Ink Bottle, Blue","OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk",100,100,0,4.3,3095,13308.501,"1,330,850.10",0,70535.055,,,,,,
B00LM4X3XE,Parker Quink Ink Bottle (Black),"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk",90,100,0.1,4.3,3061,13162.301,"1,184,607.10",0.1,69760.195,,,,,,
B00LOD70SC,Pilot V7 Liquid Ink Roller Ball Pen (2 Blue + 1 Black),"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",178,210,0.15,4.3,2450,10535,"1,875,230.00",0.1523809524,55835.504,,,,,,
B00LP9RFSU,"Eureka Forbes Aquasure Amrit Twin Cartridge (Pack of 2), White",Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,825,825,0,4,3246,12984,"10,711,800.00",0,64920,,,,,,
B00LUGTJGO,Bajaj RHX-2 800-Watt Room Heater (White),"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",1399,1549,0.1,3.9,2602,10147.8,"14,196,772.00",0.09683666882,49724.22,,,,,,
B00LVMTA2A,Panasonic CR-2032/5BE Lithium Coin Battery - Pack of 5,Electronics|GeneralPurposeBatteries&BatteryChargers,225,250,0.1,4.4,26556,116846.41,"26,290,442.00",0.1,630970.6,,,,,,
B00LXTFMRS,"PIDILITE Fevicryl Acrylic Colours Sunflower Kit (10 Colors x 15 ml) DIY Paint, Rich Pigment, Non-Craking Paint for Canvas, Wood, Leather, Earthenware, Metal, Diwali Gifts for Diwali",Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,191,225,0.15,4.4,7203,31693.201,"6,053,401.50",0.1511111111,171143.3,,,,,,
B00LY12TH6,Camel Oil Pastel with Reusable Plastic Box - 50 Shades,Home&Kitchen|CraftMaterials|PaintingMaterials,230,230,0,4.5,9427,42421.5,"9,756,945.00",0,233318.25,,,,,,
B00LY17RHI,Camlin Elegante Fountain Pen - Black/Blue/Red,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|FountainPens",225,225,0,4.1,4798,19671.799,"4,426,154.50",0,100326.17,,,,,,
B00LY1FN1K,"Camel Fabrica Acrylic Ultra Color - 15ml each, 10 Shades",Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,200,230,0.13,4.4,10170,44748,"8,949,600.00",0.1304347826,241639.2,,,,,,
B00LZLPYHW,"Classmate 2100117 Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages","OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",137,160,0.14,4.4,6537,28762.8,"3,940,503.80",0.14375,155319.12,,,,,,
B00LZLQ624,"Classmate Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages","OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",157,160,0.02,4.5,8618,38781,"6,088,617.00",0.01875,213295.5,,,,,,
B00LZPQVMK,Parker Vector Standard Chrome Trim Ball Pen (Ink - Black),"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens",272,320,0.15,4,3686,14744,"4,010,368.00",0.15,73720,,,,,,
B00MFPCY5C,GIZGA essentials Universal Silicone Keyboard Protector Skin for 15.6-inches Laptop (5 x 6 x 3 inches),"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|DustCovers",39,299,0.87,3.5,15233,53315.5,"2,079,304.50",0.8695652174,239919.75,,,,,,
B00MUTWLW4,"Logitech K480 Wireless Multi-Device Keyboard for Windows, macOS, iPadOS, Android or Chrome OS, Bluetooth, Compact, Compatible with PC, Mac, Laptop, Smartphone, Tablet - Black","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards",2595,3295,0.21,4.4,22618,99519.2,"258,252,336.00",0.2124430956,537403.7,,,,,,
B00N1U7JXM,\3M Post-it Sticky Note Cube,"200 Sheets (4 Colors x 50 Sheets) | 3\""\"" x 3\""\"" Size | For notes""",reminders,,,,90,175,"15,750.00",,,1433250,,,,,
B00N1U9AJS,"3M Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, Car Interiors, Extension Boards, Wall decoration, etc)(L: 3m, W: 24mm)",Home&Kitchen|CraftMaterials|Scrapbooking|Tape,130,165,0.21,3.9,14778,57634.203,"7,492,446.50",0.2121212121,282407.6,,,,,,
B00N3XLDW0,ENVIE ECR-20 Charger for AA & AAA Rechargeable Batteries,Electronics|Cameras&Photography|Accessories|Batteries&Chargers|BatteryChargers,299,400,0.25,3.8,40895,155401,"46,464,900.00",0.2525,745924.8,,,,,,
B00NFD0ETQ,"Logitech G402 Hyperion Fury USB Wired Gaming Mouse, 4,000 DPI, Lightweight, 8 Programmable Buttons, Compatible for PC/Mac - Black",Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice,1995,2895,0.31,4.6,10760,49496,"98,744,520.00",0.310880829,277177.6,,,,,,
